SEASON,TEAM,MATCH_DATE,RESULT,LAST_1,LAST_2,LAST_3,LAST_4,LAST_5,FORM_SCORE
2021,Genoa,2021-02-06,Napoli,W,W,D,W,L,13
2021,Genoa,2021-04-21,Benevento,L,L,D,W,D,5
2021,Genoa,2021-04-24,Spezia,D,L,L,D,W,5
2021,Genoa,2021-05-02,Lazio,W,D,L,L,D,4
2021,Genoa,2021-05-09,Sassuolo,L,W,D,L,L,4
2021,Genoa,2021-05-12,Bologna,L,L,W,D,L,7
2021,Genoa,2021-05-15,Atalanta,W,L,L,W,D,6
2021,Genoa,2021-05-22,Cagliari,L,W,L,L,W,6
2021,Genoa,2020-09-20,Crotone,,,,,,3
2021,Genoa,2020-12-16,Milan,L,D,L,L,L,2
2021,Genoa,2020-10-19,Hellas Verona,L,W,,,,4
2021,Genoa,2020-10-24,Inter,D,L,W,,,4
2021,Genoa,2020-11-01,Sampdoria,L,D,L,W,,5
2021,Genoa,2020-11-04,Torino,D,L,D,L,W,2
2021,Genoa,2020-11-08,Roma,L,D,L,D,L,2
2021,Genoa,2020-11-22,Udinese,L,L,D,L,D,1
2021,Genoa,2020-11-30,Parma,L,L,L,D,L,1
2021,Genoa,2021-01-31,Crotone,W,D,W,L,D,10
2021,Genoa,2020-12-13,Juventus,D,L,L,L,L,1
2021,Genoa,2020-09-27,Napoli,W,,,,,3
2021,Genoa,2020-12-20,Benevento,D,L,D,L,L,2
2021,Genoa,2020-12-23,Spezia,L,D,L,D,L,5
2021,Genoa,2021-01-03,Lazio,W,L,D,L,D,5
2021,Genoa,2021-01-06,Sassuolo,D,W,L,D,L,5
2021,Genoa,2021-01-09,Bologna,L,D,W,L,D,7
2021,Genoa,2021-01-17,Atalanta,W,L,D,W,L,8
2021,Genoa,2021-01-24,Cagliari,D,W,L,D,W,8
2021,Genoa,2021-04-11,Juventus,D,W,D,L,D,5
2021,Hellas Verona,2020-11-08,Milan,W,D,D,L,W,6
2021,Hellas Verona,2021-01-10,Crotone,D,W,L,D,L,8
2021,Hellas Verona,2021-05-17,Bologna,L,D,D,L,L,3
2021,Hellas Verona,2021-01-06,Torino,W,L,D,L,W,5
2021,Hellas Verona,2020-12-23,Inter,D,L,W,D,W,5
2021,Hellas Verona,2020-12-19,Fiorentina,L,W,D,W,L,8
2021,Hellas Verona,2020-12-16,Sampdoria,W,D,W,L,D,7
2021,Hellas Verona,2020-12-12,Lazio,D,W,L,D,W,8
2021,Hellas Verona,2021-01-31,Roma,W,L,W,D,W,7
2021,Hellas Verona,2020-11-28,Atalanta,L,D,W,D,D,8
2021,Hellas Verona,2021-01-03,Spezia,L,D,L,W,D,7
2021,Hellas Verona,2021-05-23,Napoli,D,L,D,D,L,4
2021,Hellas Verona,2021-04-03,Cagliari,L,L,L,W,D,6
2021,Hellas Verona,2020-09-27,Udinese,W,,,,,6
