SEASON,TEAM,VENUE,TOTAL_SHOTS_TAKE,TOTAL_SHOTS_TARGET,TOTAL_GOALS,ON_TARGET_RATIO,SHOT_CONVERSION_RATE,AVG_POSSESSION,POSSESSION_EFFECTIVENESS
2024,Frosinone,Home,246,85,28,2.89,0.11,50.63,0.03
2024,Frosinone,Away,214,62,16,3.45,0.07,48.74,0.02
2024,Genoa,Away,165,51,18,3.24,0.11,41.47,0.02
2024,Genoa,Home,232,68,27,3.41,0.12,46.63,0.03
2024,Hellas Verona,Away,201,58,15,3.47,0.07,44.37,0.02
2024,Hellas Verona,Home,234,88,23,2.66,0.1,44.42,0.03
2024,Internazionale,Home,328,109,44,3.01,0.13,58.11,0.04
2024,Internazionale,Away,252,87,45,2.9,0.18,56.05,0.04
2024,Juventus,Away,238,67,28,3.55,0.12,48,0.03
2024,Juventus,Home,293,79,26,3.71,0.09,49.05,0.03
2024,Lazio,Away,214,64,26,3.34,0.12,51.79,0.03
2024,Lazio,Home,222,71,23,3.13,0.1,54.84,0.02
2024,Lecce,Home,282,83,17,3.4,0.06,47.05,0.02
2024,Lecce,Away,221,64,15,3.45,0.07,42.68,0.02
2024,Milan,Home,285,106,38,2.69,0.13,55.53,0.04
2024,Milan,Away,269,96,38,2.8,0.14,58.32,0.03
2024,Monza,Home,249,63,23,3.95,0.09,55.32,0.02
2024,Monza,Away,202,60,16,3.37,0.08,51.63,0.02
2024,Napoli,Home,379,114,24,3.32,0.06,62.74,0.02
2024,Napoli,Away,259,82,31,3.16,0.12,59.16,0.03
2024,Roma,Away,211,69,27,3.06,0.13,56.84,0.03
2024,Roma,Home,253,73,38,3.47,0.15,53,0.04
2024,Salernitana,Away,181,52,15,3.48,0.08,43.47,0.02
2024,Salernitana,Home,217,66,17,3.29,0.08,45.53,0.02
2024,Sassuolo,Away,218,70,20,3.11,0.09,43.53,0.02
2024,Sassuolo,Home,235,74,23,3.18,0.1,44,0.03
2024,Torino,Away,205,55,18,3.73,0.09,50.58,0.02
2024,Torino,Home,227,66,18,3.44,0.08,52.68,0.02
2024,Udinese,Home,241,79,21,3.05,0.09,41.37,0.03
2024,Udinese,Away,216,55,16,3.93,0.07,37.32,0.02
2025,Atalanta,Home,277,94,36,2.95,0.13,57.74,0.03
2025,Atalanta,Away,261,87,42,3,0.16,52.79,0.04
2025,Bologna,Away,216,78,24,2.77,0.11,56.95,0.02
2025,Bologna,Home,289,88,33,3.28,0.11,59.32,0.03
2025,Cagliari,Away,162,45,16,3.6,0.1,44.21,0.02
2025,Cagliari,Home,259,70,24,3.7,0.09,45.63,0.03
2025,Como,Away,240,79,21,3.04,0.09,55.37,0.02
2025,Como,Home,279,97,28,2.88,0.1,53.74,0.03
2025,Empoli,Home,174,52,10,3.35,0.06,43.53,0.01
2025,Empoli,Away,193,55,23,3.51,0.12,39.89,0.03
2025,Fiorentina,Away,224,84,28,2.67,0.13,52.84,0.03
2025,Fiorentina,Home,205,76,29,2.7,0.14,49,0.03
2025,Genoa,Away,164,42,16,3.9,0.1,44.84,0.02
2025,Genoa,Home,219,75,21,2.92,0.1,46.42,0.02
2025,Hellas Verona,Home,207,50,15,4.14,0.07,41,0.02
2025,Hellas Verona,Away,165,45,19,3.67,0.12,36.37,0.03
2025,Internazionale,Home,309,93,40,3.32,0.13,60.68,0.03
2025,Internazionale,Away,245,84,39,2.92,0.16,58.06,0.04
2025,Juventus,Home,294,95,31,3.09,0.11,58.89,0.03
2025,Juventus,Away,215,80,27,2.69,0.13,55.53,0.03
2025,Lazio,Home,287,98,33,2.93,0.11,56.53,0.03
2025,Lazio,Away,241,87,28,2.77,0.12,53.63,0.03
2025,Lecce,Home,247,64,13,3.86,0.05,45.21,0.02
2025,Lecce,Away,203,55,14,3.69,0.07,42.47,0.02
2025,Milan,Away,261,95,31,2.75,0.12,53.74,0.03
2025,Milan,Home,294,90,30,3.27,0.1,54,0.03
2025,Monza,Away,134,44,15,3.05,0.11,47.11,0.02
2025,Monza,Home,199,55,13,3.62,0.07,49.89,0.01
2025,Napoli,Home,307,90,32,3.41,0.1,56.37,0.03
2025,Napoli,Away,192,60,27,3.2,0.14,52.84,0.03
2025,Parma,Away,203,69,19,2.94,0.09,44.84,0.02
2025,Parma,Home,215,71,25,3.03,0.12,43.47,0.03
2025,Roma,Home,273,87,37,3.14,0.14,54.58,0.04
2025,Roma,Away,241,75,19,3.21,0.08,53.21,0.02
2025,Torino,Away,177,65,22,2.72,0.12,46.32,0.03
2025,Torino,Home,206,58,17,3.55,0.08,48.74,0.02
2025,Udinese,Away,205,68,19,3.01,0.09,47.63,0.02
2025,Udinese,Home,225,69,22,3.26,0.1,46.84,0.02
2025,Venezia,Home,207,70,17,2.96,0.08,46.53,0.02
2025,Venezia,Away,174,50,15,3.48,0.09,43.63,0.02
